"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UPF3B",1046.84921740576,0.57420493228446,0.0629614034118089,9.11995129029738,1.30754802104104e-07,3.22892691801361e-07
"RNF113A",619.148815604753,0.220188983874359,0.0752582291703118,2.92577949683169,0.653990406897207,0.749496458973792
"NDUFA1",2474.92948186537,-0.0571888542783764,0.0872142108003442,-0.655728622131276,0.986688311341163,0.999999999984865
"AKAP14",14.4730524105346,-1.65279495712516,0.630237794794067,-2.62249419310884,0.0142805116847202,0.0221482574148343
"NKAP",820.108165784088,-0.239681598736905,0.0467278339146352,-5.12931113337648,0.587383379766203,0.683937851287355
"RHOXF1P1",1.87719686556841,-1.5764414116451,0.570073244455545,-2.76533134466027,0.0106661553004549,0.0168179384362947
"RHOXF1-AS1",162.689959618859,-0.480730392657903,0.27220193357366,-1.76608000665732,0.201949820383953,0.263488390835433
"RHOXF1",29.4064298931943,0.536413382765598,0.252027538838398,2.12839194176137,0.128790080511416,0.17369553250618
"NKAPP1",87.808773320248,-0.705144639468864,0.106661454543767,-6.61105403526552,9.89754995567084e-06,2.11655759406767e-05
"RHOXF2",1.17800735197429,-2.56259902624795,0.441552376071852,-5.8036128104335,8.15092861013442e-08,2.04520166852374e-07
"ZBTB33",1589.61672060227,-0.685470732650183,0.0916767704650667,-7.47703839449035,1.01675012550371e-06,2.35103385236883e-06
"TMEM255A",203.674181914342,0.249646261803585,0.179709009014133,1.38916943103254,0.503500649600256,0.599432438538904
"ATP1B4",3.40101883964188,0.509191223677672,0.534787358530505,0.95213773391509,0.391818140055179,0.479795771941306
"LAMP2",7856.73080830762,-0.465906568562468,0.0685667187917899,-6.79493749696909,0.000819561062305532,0.00146673574615193
"CUL4B",3774.25424125225,-0.294660127833087,0.0593233020536881,-4.96702168679715,0.225777221905836,0.291813415083557
"MCTS1",1146.2148665685,-0.745517596771414,0.0670967561245602,-11.1110825594521,7.61579657007281e-14,2.78057816959644e-13
"C1GALT1C1",727.91156955834,-1.00307993091002,0.117585240275607,-8.53066191436028,7.54093674982764e-11,2.30807266452246e-10
"GLUD2",54.2110960211365,-1.18649495936122,0.167057293624222,-7.10232360180645,1.03629046321622e-08,2.74807343532219e-08
"GRIA3",87.032041929134,0.786853615106769,0.231350746600393,3.40112848853643,0.0101601329786454,0.0160534640213592
"THOC2",4219.88072171575,-0.840182936604798,0.0436189829753849,-19.2618644290476,5.17191015391425e-42,5.85634650299148e-41
"XIAP",2626.29935441256,-1.31031266899761,0.0523444634270776,-25.0324978652812,1.55839546416001e-91,5.29106427991605e-90
"STAG2",4325.80721139036,-1.06826065826716,0.0555080922759886,-19.2451337177239,1.7502765437937e-49,2.48433901400015e-48
"SH2D1A",83.1052524590544,-2.0773902736948,0.288930236949698,-7.1899372513804,1.26882237916102e-10,3.8201491041142e-10
"TEX13D",1.08117459727225,-4.70583665522909,0.615412691589169,-7.64663569592187,2.24079078061622e-13,7.96341992374412e-13
"TENM1",833.562717685096,1.07595909236081,0.185329949372492,5.80564067493621,4.16164141879444e-06,9.17697505006943e-06
"TEX13C",1.92472876969765,-0.481905219372175,0.493037080070831,-0.977421859027201,0.387889102357183,0.475505878221804
"DCAF12L2",32.6789752249665,0.757590060956888,0.339523793815671,2.23133127856184,0.06895685296445,0.097440528727817
"DCAF12L1",6.1123215822999,1.89129167236211,0.677286502709045,2.7924543967689,0.00847397540524523,0.0135211488156481
"PRR32",1.27952284191877,-2.10601621829631,0.969579584454572,-2.17209216454473,0.0353449559298857,0.0519764355393052
"SMARCA1",1971.28139871442,-0.954157469944646,0.108533697050018,-8.79134771853317,4.35159939978865e-11,1.3515945442552e-10
