Geneid,p_value,padj
AGPAT5,1.717916258812332e-46,1.8604564413403167e-46
AGPS,5.950943537668424e-286,1.672336433678479e-285
AGR2,5.838868205059839e-56,6.479688704549946e-56
AGR3,4.759748194341785e-51,5.2152687586982e-51
AGRN,8.856148585619852e-47,9.599998353828223e-47
AGRP,1.5750672356775602e-233,3.3778267543070183e-233
AGT,1.1251870190127376e-08,1.131131551576181e-08
AGTPBP1,5.5755175155279814e-101,6.986161375647143e-101
AGTR1,6.497859728431084e-289,1.853633036642266e-288
AGTR2,8.415598590507042e-285,2.3449200284138223e-284
AGTRAP,1.1761785209574908e-289,3.3707162392986394e-289
AGXT,4.161642832163728e-202,7.731595623960112e-202
AGXT2,0.0,0.0
AHCTF1,2.056414590145302e-169,3.356745092059939e-169
AHCY,5.867628757950401e-56,6.511291908764702e-56
AHCYL1,1.9185550932785524e-215,3.778360488208485e-215
AHCYL2,8.983194976559831e-199,1.6441103429277706e-198
AHDC1,0.0,0.0
AHI1,2.5550474457513674e-195,4.604525077565708e-195
AHNAK,1.1840577152526525e-136,1.6845915365492843e-136
AHNAK2,2.227911651007283e-46,2.4118599705092946e-46
AHR,1.914581700551377e-184,3.302219572514413e-184
AHRR,0.0,0.0
AHSA1,3.291427244955395e-139,4.739325884168418e-139
AHSG,3.0952940600078865e-243,6.943978411538691e-243
AHSP,4.2384104618419395e-220,8.530917254432102e-220
AICDA,4.601879443426908e-214,9.02040458926112e-214
AIDA,4.9178222946651547e-135,6.95503320100556e-135
AIF1,2.0491563795152425e-32,2.1483437221419307e-32
AIF1L,3.0435727504534036e-247,6.970577838101976e-247
AIFM1,3.0100437443652565e-247,6.894473455060254e-247
AIFM2,7.845918521591574e-270,2.013199911301955e-269
AIFM3,4.50264343506464e-133,6.3235856074739695e-133
AIG1,1.797485592490494e-75,2.0974764726319563e-75
AIM2,1.3080845447025287e-234,2.818392153961353e-234
AIMP1,6.5048200243569e-134,9.162861807329047e-134
AIMP2,4.3617100594753624e-43,4.688110378103765e-43
AIP,2.0592218063091045e-250,4.7837274612512184e-250
AIPL1,0.0,0.0
AIRE,2.912370468382373e-97,3.61012262646903e-97
AIRN,0.0,0.0
AJAP1,2.618101772936345e-88,3.1642611664087355e-88
AJUBA,3.5822054823574165e-268,9.106403778933108e-268
AK1,0.0,0.0
AK2,1.5043040745680935e-268,3.831316041245109e-268
AK3,0.0,0.0
AK4,1.5694209656573504e-262,3.877908168415415e-262
AK5,1.514068631606912e-25,1.5636456523781079e-25
AK6,7.763992189135352e-187,1.3519751638379395e-186
AK7,3.013848741171013e-138,4.321532877668394e-138
AK8,8.731286499930166e-36,9.221097214549431e-36
AK9,1.6940519188666088e-102,2.1311250890604744e-102
AKAIN1,0.0,0.0
